,Sentence,Target
659,Appellant had stated to the officers that she was manager of the house; that she would rent a room to anyone for a dollar and that she knew: â€œ* * * that girls came to her house and rented rooms with their dates * *,Invalid
3456,We shall discuss the facts more fully in connection with the contentions advanced by counsel by brief and in argument.,Others
2043,"â€œPerjury is a false statement, either written or verbal, deliberately and wilfully made, relating to something past or present, under the sanction of an oath, or such affirmation as is by law equivalent to an oath, where such oath or affirmation is legally administered, under circumstances in which",Invalid
3344,"The offense is felony theft by false pretext; the punishment, two years.",Issue
3231,Numerous contentions urging the commission of reversible error by the trial court are presented by brief and in oral argument upon submission of the case.,Issue
2696,"In the absence of any showing that the juror acquired information material to the case, or of any discussion or wrongful use of anything she saw at the drug store, the jurorâ€™s visit to the drug store did not require that a new trial be granted.",Analysis
679,Appellant questions the sufficiency of the evidence to sustain the conviction.,Issue
276,It is the decision of this Court that any bar to a plaintiff's action against an individual tort-feasor under the Government Claims Act (Government Code Â§6500 et.,Invalid
1399,"The appellant testified that she had seven children, five born",Invalid
3113,"As stated by Judge Christian in the Rotner case, supra:",Invalid
702,"Appellant was accompanied by seven companions in his pursuit of Hartwell and his wife, and whenever the automobiles halted appellant struck at Hartwell with this weapon, and one of such blows caused a dent of over a half inch in depth in the top of a sedan.",Facts
1177,"Officer Harold Fisk, assigned to the police laboratory, testified that a drunkometer test which resulted in the displacement of 280 cubic centimeters of water indicated that the blood alcohol content of the person who took the test was .19% and that such percentage was indicative that the person was under the influence of alcohol.",Facts
2802,The blood sample was sent to Austin by a physician who found it in the refrigerator and mailed it to Austin for analysis.,Facts
946,He said T told you out the highway you werenâ€™t going to cause me no trouble.â€™ â€,Facts
1942,"When he approached her, he was instructed by appellant, who was by that time inside the store and behind their victim, to â€œfreezeâ€.",Facts
2390,"The appellant testified that while he was talking to Mrs. Fryer, â€œThatâ€™s the time I heard her scream for her life.",Facts
1534,"The jury resolved the issues of fact against the appellants, and the evidence being sufficient to support the convictions, the judgment is affirmed.",Conclusion
170,seq. of the Government Code of Guam.),Invalid
2543,"15, V.A.C.C.P., authorizes all persons confined in penal institutions of this state, except those persons under the sentence of death, to be released on parole after recommendation by the pardons board and the approval of the governor, when one-third of the maximum sentence imposed has been served, with the further provision that one may be paroled â€”in any caseâ€” after serving fifteen years.",Rule/Law/Holding
3177,If either request was to be allowed it should have been that of defense counsel made before the lists showing the peremptory challenges had been compared.,Analysis
2651,He didnâ€™t want to raise his head.â€,Facts
1372,"The State offered into evidence, without objection, appellantâ€™s confession to the offense.",Facts
1891,"We have been furnished with the record of the trial de novo in County Court from which we find that the relator herein was tried and found guilty of violating Art. 6701d, Sec.",Analysis
1981,"While there, he met Betty Miller (appellantâ€™s ex-wife and a former waitress at the bar in question), who had come from Clovis, New Mexico, with a group of eight people, one of whom was appellant.",Facts
2585,"Appellant testified that Butler stopped him and asked him for a pint of whisky, and he told him he did not sell whisky and had none.",Facts
1403,"The appellantâ€™s only objection to the introduction of these exhibits was that â€œthere is no predicate laid to show that they have any relevancy or materiality or competence in connection with the alleged offense on August 3, 1960.",Facts
2229,"The prosecutrix got in the car and was driven to a vacant apartment on Applegrove, where Nick supposedly was.",Facts
2635,"Even so, the objection was levelled at the whole report and did not point out the apparent corroboration on the disputed issue.",Analysis
1051,In the recent case of Bates v.,Invalid
433,"Guam's Government Claims Act differs from those of many other jurisdictions, for while the act waives the sovereign immunity of the territory, it does not indemnify or immunize the employee.",Rule/Law/Holding
1985,"Without objection, the officer testified that they searched the premises, where they found the instruments and utensils later introduced into evidence as Stateâ€™s Exhibit Nos.",Facts
787,"Bill of Exception No. 1 certifies that â€œthere was no person other than the Defendant who might have testified concerning the matter of whether or not the defendant has a slur or has lumbago, as was discussed in the prosecutorâ€™s argument.â€",Rule/Law/Holding
230,No. 90F-79).,Invalid
2350,The fact the judgments in the two prior convictions recited both that appellant â€œwaived a juryâ€ and was adjudged guilty â€œas,Invalid
379,"He moved successfully in the Superior Court to suppress certain statements made to his supervisor, on the theory that the statements resulted from a custodial interrogation where full Miranda warnings were not given.",Facts
3375,"The search was not made as an incident to the arrest of appellant for the offense of unlawfully carrying on or about her person a pistol, but as an incident to the search of the driver of the automobile in the investigation of the burglary or attempted burglary of the drug store.",Analysis
2209,"Subsequent to this ruling by the court and after the introduction of further testimony, appellantâ€™s counsel moved for a mistrial.",Issue
2497,"Accordingly, the judgment is reversed and the cause is.",Conclusion
2894,The state proved that he stopped and remained at the scene of the accident until after an ambulance had been called to remove the bodies of the two victims.,Analysis
1578,"The offense of statutory rape was alleged to have been committed on or about May 17, 1961; the punishment, 40 years.",Rule/Law/Holding
1791,This is especially true because one or more of the acts for which a fine or imprisonment is provided in the election code do not appear to have been punishable as offenses under existing statutes.,Analysis
798,"By informal bill of exception, appellant complains of the courtâ€™s action in permitting Officer Wagner to relate to the jury a statement made to him by appellant after his arrest and while he was being taken to jail.",Issue
